Name of underlying instrument	Option symbol	Underlying symbol
Franco-Nevada Corp.	FNV	FNV
Freehold Royalties Ltd.	FRU	FRU
Galaxy Digital Holdings Ltd.	GLXY	GLXY
George Weston Limited	WN	WN
GFL Environmental Inc.	GFL	GFL
Gibson Energy Inc.	GEI	GEI
Gildan Activewear Inc.	GIL	GIL
GoodFood Market Corp.	FOOD	FOOD
Gran Colombia Gold Corp.	GCM	GCM
Granite Real Estate Investment Trust Inc.	GRT	GRTu
Great-West Lifeco Inc.	GWO	GWO
Groupe Aeroplan Inc.	AIM	AIM
H&R Real Estate Investment Trust	HR	HR u
Headwater Exploration Inc.	HWX	HWX
HEXO Corp	HEXO	HEXO
Home Capital Group Inc.	HCG	HCG
Hudbay Minerals Inc.	HBM	HBM
Hut 8 Mining Corp.	HUT	HUT
Hydro One Limited	H	H
iA Financial Corporation Inc.	IAG	IAG
IAMGOLD Corporation	IMG	IMG
IGM Financial Inc.	IGM	IGM
Imperial Oil Limited	IMO	IMO
Innergex Renewable Energy Inc.	INE	INE
Intact Financial Corporation	IFC	IFC
Inter Pipeline Ltd.	IPL	IPL
Interfor Corporation	IFP	IFP
Intertape Polymer Group Inc.	ITP	ITP
Ivanhoe Mines Ltd.	IVN	IVN
Jaguar Mining Inc.	JAG	JAG
Jamieson Wellness Inc.	JWEL	JWEL
K92 Mining Inc.	KNT	KNT
Keyera Corp.	KEY	KEY
Kinaxis Inc.	KXS	KXS
Kinross Gold Corporation	K	K
Kirkland Lake Gold Ltd.	KL	KL
Kirkland Lake Gold Ltd.	KL1	KL1
Labrador Iron Ore Royalty Corporation	LIF	LIF
Laurentian Bank of Canada	LB	LB
Lifeworks Inc.	LWRK	LWRK
Lightspeed POS Inc.	LSPD	LSPD
Linamar Corporation	LNR	LNR
Lion Electric Company	LEV	LEV
Lithium Americas	LAC	LAC
Loblaw Companies Ltd.	L	L
Lundin Gold Inc.	LUG	LUG
Lundin Mining Corporation	LUN	LUN
MAG Silver Corp.	MAG	MAG
Magna International Inc	MG	MG
Major Drilling Group International Inc.	MDI	MDI
Manulife Financial Corporation	MFC	MFC
Maple Leaf Foods Inc.	MFI	MFI
Martinrea International Inc.	MRE	MRE
Maxar Technologies Ltd.	MAXR	MAXR
MEG Energy Corp.	MEG	MEG
Methanex Corporation	MX	MX
Metro Inc.	MRU	MRU
Mullen Group Ltd.	MTL	MTL
National Bank of Canada	NA	NA
Neptune Technologies & Bioressources Inc.	NEPT	NEPT
New Gold Inc.	NGD	NGD
Newmont Corporation	NGT	NGT
NexGen Energy Ltd.	NXE	NXE
NFI Group Inc.	NFI	NFI
North West Company Inc.	NWC	NWC
Northland Power Inc.	NPI	NPI
NorthWest Healthcare Properties Real Estate Investment Trust	NWH	NWHu
NovaGold Resources Inc.	NG	NG
Nutrien Ltd.	NTR	NTR
Nuvei Corporation	NVEI	NVEI
OceanaGold Corporation	OGC	OGC
Onex Corporation	ONEX	ONEX
Open Text Corp.	OTEX	OTEX
Organigram Holdings Inc.	OGI	OGI
Orla Mining Ltd	OLA	OLA
Osisko Gold Royalties Ltd.	OR	OR
Osisko Mining Corp.	OSK	OSK
Ovintiv Inc.	OVV	OVV
Ovintiv Inc.	OVV1	OVV1
Pan American Silver Corporation	PAAS	PAAS
Paramount Resources Ltd.	POU	POU
Parex Resources Inc.	PXT	PXT
Parkland Fuel Corporation	PKI	PKI
Pason Systems Inc.	PSI	PSI
Pembina Pipeline Corporation	PPL	PPL
Peyto Exploration & Development Corp.	PEY	PEY
Power Corporation of Canada	POW	POW
PrairieSky Royalty Ltd.	PSK	PSK
Precision Drilling Corporation	PD	PD
Precision Drilling Corporation	PD1	PD1
Premium Brands Holdings Corporation	PBH	PBH
Pretium Resources Inc.	PVG	PVG
Primo Water Corporation	PRMW	PRMW
Pyrogenesis Canada Inc.	PYR	PYR
Quebecor Inc., Cl. B	QBR	QBR.B
Real Matters Inc.	REAL	REAL
Resolute Forest Products Inc.	RFP	RFP
Resolute Forest Products Inc.	RFP1	RFP1
Restaurant Brands International	QSR	QSR
RioCan Real Estate Investment Trust	REI	REIu
Ritchie Bros. Auctioneers Incorporated	RBA	RBA
Rogers Communications Inc., Cl. B	RCI	RCI.B
Royal Bank of Canada	RY	RY
Russel Metals Inc.	RUS	RUS
Sandstorm Gold Ltd.	SSL	SSL
Saputo Inc.	SAP	SAP
Savaria Corporation	SIS	SIS
Score Media and Gaming Inc.	SCR	SCR
Seabridge Gold Inc.	SEA	SEA
Shaw Communications Inc., Cl. B	SJR	SJR.B
ShawCor Ltd., Cl. A	SCL	SCL
Shopify Inc. Cl. A	SHOP	SHOP
Sienna Senior Living Inc.	SIA	SIA
Sierra Wireless Inc.	SW	SW
Silvercorp Metals Inc.	SVM	SVM
SilverCrest Metals Inc.	SIL	SIL
Sleep Country Canada Holdings Inc.	ZZZ	ZZZ
SmartCentres Real Estate Investment Trust	SRU	SRUu
SNC-Lavalin Group Inc.	SNC	SNC
Spin Master Corp.	TOY	TOY
SSR Mining Inc.	SSRM	SSRM
Stantec Inc.	STN	STN
Stelco Holdings Inc.	STLC	STLC
Stella-Jones Inc.	SJ	SJ
Summit Industrial Income REIT	SMU	SMUu
Sun Life Financial	SLF	SLF
Suncor Energy Inc.	SU	SU
SunOpta, Inc.	SOY	SOY
Superior Plus Corp.	SPB	SPB
TC Energy Corporation	TRP	TRP
Teck Resources Limited, Cl. B	TECK	TECK.B
TELUS Corporation	T	T
TFI International Inc.	TFII	TFII
The Valens Company Inc.	VLNS	VLNS
Thomson Reuters Corporation	TRI	TRI
Tilray Inc.	TLRY	TLRY
Tilray Inc.	TLRY1	TLRY1
TMX Group Limited	X	X
Torex Gold Resources Inc.	TXG	TXG
Toromont Industries Ltd.	TIH	TIH
Toronto-Dominion Bank (The)	TD	TD
Tourmaline Oil Corp.	TOU	TOU
TransAlta Corporation	TA	TA
TransAlta Renewable Inc.	RNW	RNW
Transcontinental Inc., Cl. A	TCL	TCL.A
Tricon Capital Group Inc.	TCN	TCN
Trillium Therapeutics Inc.	TRIL	TRIL
Turquoise Hill Resources Ltd.	TRQ	TRQ
Uni-Select Inc.	UNS	UNS
Uranium Participation Corporation	U1	U1
Vermilion Energy Inc.	VET	VET
Victoria Gold Corp.	VGCX	VGCX
Village Farms International Inc.	VFF	VFF
Waste Connections Inc.	WCN	WCN
WELL Health Technologies Corp.	WELL	WELL
Wesdome Gold Mines Ltd.	WDO	WDO
West Fraser Timber Co. Ltd.	WFG	WFG
Westport Fuel Systems Inc.	WPRT	WPRT
Westshore Terminals Investment Corporation	WTE	WTE
Wheaton Precious Metals Corp.	WPM	WPM
Whitecap Resources Inc.	WCP	WCP
Winpak Ltd.	WPK	WPK
WSP Global Inc.	WSP	WSP
Xebec Adsorption Inc.	XBC	XBC
Yamana Gold Inc.	YRI	YRI
